City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,16.34,93,66,6.62,CL,1675047486
1,broken hill,-31.95,141.4333,26.77,47,50,6.27,AU,1675047803
2,georgetown,5.4112,100.3354,28.96,70,20,3.09,MY,1675047767
3,rikitea,-23.1203,-134.9692,26.25,69,22,3.99,PF,1675047810
4,punta arenas,-53.15,-70.9167,9.06,81,75,5.14,CL,1675047811
5,peniche,39.3558,-9.3811,6.92,72,6,4.84,PT,1675047816
6,muzhi,65.3667,64.6667,-21.65,100,100,1.27,RU,1675047818
7,vaini,-21.2,-175.2,29.09,84,40,4.63,TO,1675047824
8,san patricio,28.017,-97.5169,21.92,93,3,3.01,US,1675047825
9,butaritari,3.0707,172.7902,27.21,80,3,9.69,KI,1675047825
10,turukhansk,65.8167,87.9833,-24.79,100,78,1.48,RU,1675047826
11,bengkulu,-3.8004,102.2655,28.64,66,100,1.22,ID,1675047826
12,okmulgee,35.6234,-95.9605,-4.49,86,100,4.63,US,1675047827
13,pevek,69.7008,170.3133,-12.97,87,86,2.19,RU,1675047827
14,narsaq,60.9167,-46.05,-10.88,71,100,3.74,GL,1675047827
15,ushuaia,-54.8,-68.3,5.54,95,98,2.54,AR,1675047755
16,bilma,18.6853,12.9164,19.71,14,75,3.42,NE,1675047828
17,kununurra,-15.7667,128.7333,27.99,83,75,4.12,AU,1675047829
18,alofi,-19.0595,-169.9187,27.47,74,81,4.55,NU,1675047829
19,bambanglipuro,-7.95,110.2833,28.37,72,100,0.98,ID,1675047830
20,eunice,30.4944,-92.4176,21.11,98,14,3.02,US,1675047830
21,mataura,-46.1927,168.8643,24.17,53,100,2.54,NZ,1675047831
22,atuona,-9.8,-139.0333,25.99,77,13,8.31,PF,1675047831
23,clyde river,70.4692,-68.5914,-26.95,93,100,4.59,CA,1675047831
24,buala,-8.145,159.5921,26.73,84,100,2.81,SB,1675047832
25,busselton,-33.65,115.3333,29.35,36,31,3.51,AU,1675047832
26,kapaa,22.0752,-159.319,22.83,58,100,2.24,US,1675047654
27,henties bay,-22.116,14.2845,17.11,85,17,4.13,NA,1675047833
28,qaanaaq,77.484,-69.3632,-25.1,71,31,2.56,GL,1675047834
29,armizonskoye,55.9461,67.6736,-17.83,98,27,3.95,RU,1675047834
30,khatanga,71.9667,102.5,-42.0,100,71,1.07,RU,1675047835
31,cayenne,4.9333,-52.3333,26.02,78,100,2.57,GF,1675047612
32,egvekinot,66.3167,-179.1667,-6.45,73,100,7.4,RU,1675047835
33,pocatello,42.8713,-112.4455,-18.05,50,0,5.14,US,1675047836
34,leeuwarden,53.2014,5.8086,8.0,92,75,9.77,NL,1675047836
35,faya,18.3851,42.4509,9.29,89,31,1.33,SA,1675047837
36,codrington,-38.2667,141.9667,19.74,53,100,5.45,AU,1675047837
37,atar,20.5169,-13.0499,14.16,44,68,3.74,MR,1675047838
38,saint george,37.1041,-113.5841,9.41,41,100,2.68,US,1675047785
39,kitimat,54.0524,-128.6534,-4.49,73,34,1.13,CA,1675047839
40,vestmannaeyjar,63.4427,-20.2734,-0.28,75,49,6.87,IS,1675047839
41,lingao,19.9103,109.6859,17.31,44,6,4.61,CN,1675047840
42,jurado,7.1053,-77.7641,24.14,88,99,1.93,CO,1675047840
43,saryg-sep,51.5,95.6,-17.42,95,100,0.18,RU,1675047840
44,east london,-33.0153,27.9116,17.87,70,76,2.46,ZA,1675047641
45,dikson,73.5069,80.5464,-34.35,97,66,1.7,RU,1675047843
46,yellowknife,62.456,-114.3525,-28.58,68,4,5.81,CA,1675047829
47,kastamonu,41.5,33.6667,-2.58,84,100,2.09,TR,1675047492
48,srednekolymsk,67.45,153.6833,-24.12,97,100,4.47,RU,1675047846
49,antalaha,-14.9003,50.2788,24.03,87,67,1.7,MG,1675047848
50,sola,-13.8833,167.55,26.71,81,100,8.02,VU,1675047849
51,coquimbo,-29.9533,-71.3436,17.74,83,13,1.77,CL,1675047699
52,mahon,39.8885,4.2658,8.31,76,75,5.14,ES,1675047850
53,byron bay,-28.65,153.6167,30.39,72,94,5.22,AU,1675047851
54,arraial do cabo,-22.9661,-42.0278,24.77,90,86,10.31,BR,1675047852
55,cherskiy,68.75,161.3,-16.58,89,100,2.65,RU,1675047853
56,severo-kurilsk,50.6789,156.125,-3.27,79,100,17.71,RU,1675047854
57,tatvan,38.5067,42.2817,-4.54,97,97,1.34,TR,1675047855
58,kindu,-2.95,25.95,18.89,98,100,0.89,CD,1675047858
59,erenhot,43.6475,111.9767,-9.49,64,0,3.89,CN,1675047859
60,inuvik,68.3499,-133.7218,-21.95,100,100,1.01,CA,1675047631
61,ponta do sol,32.6667,-17.1,14.84,59,59,3.08,PT,1675047868
62,wilmington island,32.0036,-80.9737,15.55,97,100,2.06,US,1675047874
63,yeppoon,-23.1333,150.7333,30.88,63,79,4.55,AU,1675047876
64,tautira,-17.7333,-149.15,27.12,74,2,4.32,PF,1675047878
65,newport,51.5877,-2.9984,9.69,90,99,5.88,GB,1675047879
